,Close
448,12957.0
449,12914.0
450,12909.0
451,12939.0
452,12808.0
453,12821.0
454,12882.0
455,12851.0
456,12851.0
457,12821.0
458,12735.0
459,12716.0
460,12590.0
461,12857.0
462,12701.0
463,12607.0
464,12643.0
465,12697.0
466,12758.0
467,12783.0
468,12778.0
469,12741.0
470,12763.0
471,12797.0
472,12775.0
473,12811.0
474,12864.0
475,12794.0
476,12798.0
477,12851.0
478,12972.0
479,13050.0
480,13108.0
481,13118.0
482,13129.0
483,13102.0
484,13115.0
485,13011.0
486,13043.0
487,13101.0
488,13085.0
489,13083.0
490,13054.0
491,12991.0
492,13056.0
493,13034.0
494,12898.0
495,12977.0
496,12929.0
497,13027.0
498,13010.0
499,12952.0
500,12882.0
501,12923.0
502,12889.0
503,12904.0
504,12983.0
505,12994.0
506,12937.0
507,12949.0
508,13024.0
509,13087.0
510,13138.0
511,13186.0
512,13187.0
513,13212.0
514,13226.0
515,13301.0
516,13296.0
517,13343.0
518,13448.0
519,13436.0
520,13467.0
521,13355.0
522,13394.0
523,13506.0
524,13576.0
525,13622.0
526,13642.0
527,13641.0
528,13768.0
529,13785.0
530,13807.0
531,13902.0
532,13995.0
533,14057.0
534,14066.0
535,14238.0
536,14415.0
537,14517.0
538,14656.0
539,14639.0
540,14477.0
541,14753.0
542,15014.0
543,14975.0
544,14827.0
545,15337.0
546,15860.0
547,15746.0
548,15556.0
549,15272.0
550,15020.0
551,15062.0
552,15014.0
553,15110.0
554,15204.0
555,15326.0
556,15397.0
557,15352.0
558,15358.0
559,15487.0
560,15759.0
561,15827.0
562,15713.0
563,15748.0
564,15682.0
565,15690.0
566,15758.0
567,15826.0
568,15783.0
569,15900.0
570,15954.0
571,16078.0
572,16105.0
573,16195.0
574,15982.0
575,15944.0
576,15925.0
577,15739.0
578,15698.0
579,15690.0
580,15808.0
581,15917.0
582,16205.0
583,16410.0
584,16467.0
585,16553.0
586,16611.0
587,16739.0
588,16739.0
589,16670.0
590,16803.0
591,16811.0
592,16818.0
593,17008.0
594,16968.0
595,17096.0
596,17131.0
597,17206.0
598,17186.0
599,17076.0
600,17177.0
601,17278.0
602,17403.0
603,17458.0
604,17342.0
605,17517.0
606,17601.0
607,17500.0
608,17654.0
609,17623.0
610,17670.0
611,17692.0
612,17598.0
613,17714.0
614,17734.0
615,17506.0
616,17470.0
617,17670.0
618,17821.0
619,17883.0
620,17701.0
621,17726.0
622,17839.0
623,17522.0
624,17639.0
625,17860.0
626,18026.0
627,18051.0
628,18039.0
629,17729.0
630,17799.0
631,17510.0
632,17322.0
633,17263.0
634,17415.0
635,17353.0
636,17422.0
637,17436.0
638,17479.0
639,17795.0
640,18001.0
641,18265.0
642,18376.0
643,18597.0
644,18793.0
645,18936.0
646,18951.0
647,18566.0
648,18641.0
649,18503.0
650,18370.0
651,18821.0
652,18821.0
653,18695.0
654,18505.0
655,18560.0
656,18775.0
657,18552.0
658,18474.0
659,18619.0
660,18561.0
661,18101.0
